trecho_id,data_obs,lat_centroide,lon_centroide,mes,chuva_72h,chuva_7d,chuva_30d
RO-ARQ-0027,2024-01-20,-9.9361,-63.0623,1,25.8,48.8,259.2
RO-ARQ-0027,2024-02-25,-9.9361,-63.0623,2,51.1,98.6,283.6
RO-ARQ-0027,2024-07-15,-9.9361,-63.0623,7,0.0,0.1,1.1
RO-ARQ-0027,2024-10-20,-9.9361,-63.0623,10,14.4,42.9,85.1
RO-ARQ-0027,2025-02-10,-9.9361,-63.0623,2,40.2,98.6,345.7
RO-ARQ-0027,2025-03-15,-9.9361,-63.0623,3,45.5,68.9,297.6
RO-ARQ-0027,2025-08-15,-9.9361,-63.0623,8,0.0,0.0,5.5
RO-ARQ-0028,2023-02-15,-9.9355,-63.063,2,18.8,35.9,240.2
RO-ARQ-0028,2023-03-08,-9.9355,-63.063,3,16.9,58.5,277.2
RO-ARQ-0028,2023-07-20,-9.9355,-63.063,7,0.0,21.4,21.6
RO-ARQ-0028,2023-11-15,-9.9355,-63.063,11,7.4,19.1,65.4
RO-ARQ-0028,2024-01-20,-9.9355,-63.063,1,25.8,48.8,259.2
RO-ARQ-0028,2024-02-25,-9.9355,-63.063,2,51.1,98.6,283.6
RO-ARQ-0028,2024-07-15,-9.9355,-63.063,7,0.0,0.1,1.1
RO-ARQ-0028,2024-10-20,-9.9355,-63.063,10,14.4,42.9,85.1
RO-ARQ-0028,2025-02-10,-9.9355,-63.063,2,40.2,98.6,345.7
RO-ARQ-0028,2025-03-15,-9.9355,-63.063,3,45.5,68.9,297.6
RO-ARQ-0028,2025-08-15,-9.9355,-63.063,8,0.0,0.0,5.5
RO-ARQ-0029,2023-02-15,-9.9314,-63.0689,2,18.8,35.9,240.2
RO-ARQ-0029,2023-03-08,-9.9314,-63.0689,3,16.9,58.5,277.2
RO-ARQ-0029,2023-07-20,-9.9314,-63.0689,7,0.0,21.4,21.6
RO-ARQ-0029,2023-11-15,-9.9314,-63.0689,11,7.4,19.1,65.4
RO-ARQ-0029,2024-01-20,-9.9314,-63.0689,1,25.8,48.8,259.2
